Unnamed: 0,ID,Prix,Condition,RAM,Stockage,Marque,Couleur,Taille écran,Résolution
495.0,v1|196870391020|0,199.0,Très bon état - Reconditionné,8 Go,8 Go,HP,Noir,"15.6""",1366 * 768
496.0,v1|196795984319|0,300.0,Occasion,16 Go,512 Go,Lenovo,Noir,"14""",1920 x 1080
497.0,v1|116419419703|0,215.0,Occasion,8 Go,256 Go,Dell,Gris,"13,3""",1920 x 1080
498.0,v1|126808995497|0,1217.28,Occasion,16 GB,512 Go,Dell,Argent,38.1cm,1920 x 1200
499.0,v1|404796566290|0,399.0,Occasion,8 Go,256 Go,Panasonic,Argenté,"10,1""",1920 x 1200
500.0,v1|196763506304|0,199.0,État correct - Reconditionné,8Go,256Go SSD,Dell,Noir,"14""",1366 x 768
501.0,v1|296824848831|0,169.0,Occasion,8 Go,640 Go,Sony,Blanc,"15,6""",1366 x 768
502.0,v1|326126340520|0,110.0,Occasion,6 Go,10 Go,Acer,Noir,"15,6""",1366 x 768
503.0,v1|196853006933|0,200.0,Occasion,8 Go,256 Go,Lenovo,Noir,"14""",1366 x 768
504.0,v1|116419413933|0,250.0,Occasion,16 Go,512 Go,Dell,Gris,"15,6""",1920 x 1080
505.0,v1|186766301901|0,147.0,Occasion,4 Go,500 Go,ASUS,Noir,"17,3""",1600 x 900
506.0,v1|285665029202|0,249.9,Occasion,8 Go,512 Go,Lenovo,Noir,"14""",1920 x 1080
507.0,v1|185523397541|0,99.0,Occasion,sans ram,sans ssd,Dell,Noir,"14""",1920 x 1080
509.0,v1|285316315583|0,129.9,Occasion,4 Go,256 Go,HP,Argenté,"12,5""",1366 x 768
511.0,v1|196707159359|0,249.99,Très bon état - Reconditionné,16Go,512Go SSD,Lenovo,Noir,"14""",titre
512.0,v1|256563857468|0,135.0,Occasion,2 Go,250 Go,Acer,Noir,"15,3""",1366 x 768
513.0,v1|286175037294|0,129.9,Occasion,8 Go,500 Go,Lenovo,Noir,"12,5""",1366 x 768
514.0,v1|356288695859|0,249.0,Parfait état - Reconditionné,8 Go,1 To,Dell,Gris,"14""",1366 x 768
515.0,v1|186709443743|0,189.0,Occasion,8 Go,0,Dell,Noir,Nn,no
516.0,v1|256162782958|0,349.0,Occasion,4 Go,256 Go,Panasonic,Argenté,"10,1""",1920 x 1200
517.0,v1|186688710485|0,179.0,Occasion,8,0,elitebook 840 g1,Noir,Nn,nn
518.0,v1|196747836352|0,250.0,Occasion,8 Go,256 Go,Lenovo,Noir,"14""",1366 x 768
519.0,v1|126752057533|0,469.0,Occasion,8 Go,750 Go,Acer Nitro 5,Noir,"15,6""",1920 x 1080
521.0,v1|196855212134|0,320.0,Occasion,8 Go,256 Go,HP,Gris,"15""",1920 x 1080
522.0,v1|356339839116|0,1190.0,Occasion,16 Go,256 Go,Dell,Gris,"15,6""",1920 x 1080
523.0,v1|335442082089|0,922.96,Ouvert (jamais utilisé),16GB,2 To,Sony,Blanc,39.6cm,1366 x 786
524.0,v1|196794615332|0,300.0,Occasion,16 Go,1 To,HP,Gris,"15""",1920 x 1080
525.0,v1|176677796847|0,119.0,Occasion,6 Go,6 Go,HP,Gris,"17,3""",1600 x 900
526.0,v1|176734479371|0,249.0,Occasion,8 Go,500 Go,Toshiba,Blanc,"17,3""",1600 x 900
527.0,v1|135229927290|0,349.0,Parfait état - Reconditionné,16 Go,500 Gb,HP,Noir,"14""",1920 * 1080
528.0,v1|335602226099|0,100.0,Occasion,8 Go,500 Go,Dell,Gris/Noir,"14""",1600 x 900
529.0,v1|296824847441|0,179.0,Occasion,8 Go,500 Go,Acer,Rouge,"15,6""",1366 x 768
531.0,v1|116419413934|0,375.0,Occasion,32 Go,512 Go,Dell,Argenté,"15,6""",1920 x 1280
532.0,v1|196747836357|0,250.0,Occasion,8 Go,256 Go,Lenovo,Noir,"14""",1366 x 768
533.0,v1|226447273537|0,600.0,Occasion,8 Go,256 Go,Panasonic,Noir/Gris,"10""",1920 x 1080
